# FONLL heavy quark hadroproduction cross section, calculated on Tue Dec 28 18:00:00 CET 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.
# ptmax = 150.
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=dot5dot5 fr=22 fr=21 fr=12 fr=1dot5 fr=dot51
0.0500 3.2134e+05 1.3061e+05 5.1340e+05 1.4763e+05 4.9038e+05 2.6261e+05 3.9588e+05 2.6886e+05 3.7383e+05 2.5160e+05 3.4220e+05 4.4511e+05 2.2937e+05 4.9038e+05 1.4763e+05
0.1000 6.3749e+05 2.6027e+05 1.0163e+06 2.9410e+05 9.7036e+05 5.2099e+05 7.8537e+05 5.3354e+05 7.4145e+05 5.0079e+05 6.7813e+05 8.7942e+05 4.5575e+05 9.7036e+05 2.9410e+05
0.1501 9.4784e+05 3.8857e+05 1.5079e+06 4.3894e+05 1.4393e+06 7.7471e+05 1.1676e+06 7.9349e+05 1.1022e+06 7.4678e+05 1.0073e+06 1.3026e+06 6.7861e+05 1.4393e+06 4.3894e+05
0.2001 1.2535e+06 5.1582e+05 1.9902e+06 5.8250e+05 1.8991e+06 1.0247e+06 1.5439e+06 1.0496e+06 1.4574e+06 9.9024e+05 1.3310e+06 1.7168e+06 8.9870e+05 1.8991e+06 5.8250e+05
0.2501 1.5549e+06 6.4207e+05 2.4640e+06 7.2488e+05 2.3505e+06 1.2712e+06 1.9148e+06 1.3022e+06 1.8075e+06 1.2313e+06 1.6499e+06 2.1229e+06 1.1162e+06 2.3505e+06 7.2488e+05
0.3001 1.8522e+06 7.6734e+05 2.9298e+06 8.6607e+05 2.7941e+06 1.5145e+06 2.2806e+06 1.5515e+06 2.1529e+06 1.4700e+06 1.9642e+06 2.5214e+06 1.3314e+06 2.7941e+06 8.6607e+05
0.3501 2.1455e+06 8.9161e+05 3.3878e+06 1.0060e+06 3.2302e+06 1.7547e+06 2.6412e+06 1.7975e+06 2.4936e+06 1.7062e+06 2.2741e+06 2.9130e+06 1.5440e+06 3.2302e+06 1.0060e+06
0.4001 2.4348e+06 1.0148e+06 3.8382e+06 1.1448e+06 3.6589e+06 1.9917e+06 2.9966e+06 2.0402e+06 2.8295e+06 1.9399e+06 2.5796e+06 3.2978e+06 1.7542e+06 3.6589e+06 1.1448e+06
0.4502 2.7200e+06 1.1369e+06 4.2810e+06 1.2821e+06 4.0801e+06 2.2256e+06 3.3466e+06 2.2794e+06 3.1605e+06 2.1709e+06 2.8807e+06 3.6760e+06 1.9617e+06 4.0801e+06 1.2821e+06
0.5002 3.0008e+06 1.2579e+06 4.7159e+06 1.4180e+06 4.4940e+06 2.4562e+06 3.6909e+06 2.5152e+06 3.4865e+06 2.3991e+06 3.1771e+06 4.0475e+06 2.1664e+06 4.4940e+06 1.4180e+06
0.5502 3.2772e+06 1.3776e+06 5.1426e+06 1.5523e+06 4.8999e+06 2.6834e+06 4.0293e+06 2.7472e+06 3.8072e+06 2.6242e+06 3.4687e+06 4.4120e+06 2.3683e+06 4.8999e+06 1.5523e+06
