pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.100 200682.385 81935.839 319927.985 92585.458 305461.703 164006.642 247232.487 167955.130 233406.501 157650.768 213472.599 276830.455 143470.109 305461.703 92585.458
0.201 394597.726 162377.655 626453.708 183369.300 597797.351 322533.108 485996.754 330411.252 458752.813 311720.277 418985.448 540421.862 282903.845 597797.351 183369.300
0.301 583014.060 241551.435 922182.293 272627.732 879495.934 476737.581 717852.736 488382.168 677677.339 462707.579 618261.693 793652.410 419079.609 879495.934 272627.732
0.401 766377.082 319457.179 1208086.739 360354.478 1151621.474 626924.513 943211.603 642178.609 890606.942 610634.645 811951.048 1037969.043 552160.611 1151621.474 360354.478
0.502 944498.471 395947.368 1484261.205 446323.550 1414393.679 773093.907 1161696.710 791643.641 1097353.301 755140.526 999959.351 1273873.951 681914.588 1414393.679 446323.550
0.602 1116907.420 470868.206 1749921.017 530409.400 1667122.035 914900.503 1372648.931 936432.005 1297382.836 895848.576 1181909.957 1500896.331 807964.896 1667122.035 530409.400
0.702 1283007.577 543999.983 2003936.241 612298.158 1908707.996 1051873.496 1575283.589 1076010.122 1489973.645 1032256.603 1357112.352 1718188.731 929934.890 1908707.996 612298.158
0.803 1442077.039 615154.378 2245365.267 691738.728 2138241.338 1183510.695 1768721.847 1209875.800 1674309.665 1163893.802 1524876.021 1924966.477 1047290.990 2138241.338 691738.728
0.903 1593582.227 684080.293 2473329.257 768480.013 2354968.772 1309309.907 1952241.805 1337495.459 1849668.995 1290320.754 1684573.223 2120570.440 1159625.166 2354968.772 768480.013
1.003 1736989.561 750558.020 2687169.084 842239.531 2558293.944 1428831.712 2125247.108 1458492.455 2015486.668 1411129.428 1835607.606 2304372.881 1266497.999 2558293.944 842239.531
1.104 1871985.172 814493.398 2886476.717 912985.894 2747808.824 1541856.403 2287392.499 1572647.078 2171354.653 1526100.115 1977696.685 2476028.542 1367689.780 2747808.824 912985.894
