# FONLL heavy quark hadroproduction cross section, calculated on Fri Mar 12 22:30:35 CET 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.05
# ptmax = 149.95
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.0500 1.7169e+05 8.1873e+04 2.7311e+05 9.1909e+04 2.6022e+05 1.3828e+05 2.1485e+05 1.4748e+05 1.9590e+05 1.5359e+05 1.7101e+05 2.2608e+05 1.2306e+05 2.6022e+05 9.1909e+04
0.1500 5.0580e+05 2.4308e+05 8.0087e+05 2.7278e+05 7.6248e+05 4.0745e+05 6.3282e+05 4.3472e+05 5.7688e+05 4.5485e+05 5.0335e+05 6.6187e+05 3.6372e+05 7.6248e+05 2.7278e+05
0.2500 8.2902e+05 4.0100e+05 1.3072e+06 4.4985e+05 1.2437e+06 6.6801e+05 1.0369e+06 7.1281e+05 9.4524e+05 7.4864e+05 8.2459e+05 1.0792e+06 5.9788e+05 1.2437e+06 4.4985e+05
0.3500 1.1432e+06 5.5607e+05 1.7960e+06 6.2360e+05 1.7077e+06 9.2147e+05 1.4293e+06 9.8324e+05 1.3031e+06 1.0358e+06 1.1368e+06 1.4819e+06 8.2654e+05 1.7077e+06 6.2360e+05
0.4500 1.4484e+06 7.0811e+05 2.2679e+06 7.9378e+05 2.1555e+06 1.1681e+06 1.8099e+06 1.2461e+06 1.6507e+06 1.3161e+06 1.4401e+06 1.8710e+06 1.0496e+06 2.1555e+06 7.9378e+05
0.5500 1.7441e+06 8.5676e+05 2.7226e+06 9.5991e+05 2.5869e+06 1.4075e+06 2.1777e+06 1.5009e+06 1.9873e+06 1.5886e+06 1.7340e+06 2.2464e+06 1.2663e+06 2.5869e+06 9.5991e+05
0.6500 2.0293e+06 1.0017e+06 3.1582e+06 1.1216e+06 3.0001e+06 1.6390e+06 2.5315e+06 1.7468e+06 2.3118e+06 1.8526e+06 2.0178e+06 2.6070e+06 1.4762e+06 3.0001e+06 1.1216e+06
0.7500 2.3029e+06 1.1423e+06 3.5729e+06 1.2782e+06 3.3934e+06 1.8618e+06 2.8697e+06 1.9829e+06 2.6229e+06 2.1070e+06 2.2901e+06 2.9513e+06 1.6785e+06 3.3934e+06 1.2782e+06
0.8500 2.5636e+06 1.2783e+06 3.9651e+06 1.4292e+06 3.7654e+06 2.0749e+06 3.1908e+06 2.2081e+06 2.9192e+06 2.3507e+06 2.5499e+06 3.2779e+06 1.8722e+06 3.7654e+06 1.4292e+06
0.9500 2.8105e+06 1.4089e+06 4.3331e+06 1.5740e+06 4.1146e+06 2.2774e+06 3.4935e+06 2.4216e+06 3.1994e+06 2.5829e+06 2.7958e+06 3.5855e+06 2.0564e+06 4.1146e+06 1.5740e+06
1.0500 3.0428e+06 1.5339e+06 4.6760e+06 1.7121e+06 4.4400e+06 2.4688e+06 3.7768e+06 2.6228e+06 3.4627e+06 2.8029e+06 3.0272e+06 3.8732e+06 2.2306e+06 4.4400e+06 1.7121e+06
1.1500 3.2600e+06 1.6532e+06 4.9935e+06 1.8434e+06 4.7414e+06 2.6487e+06 4.0404e+06 2.8113e+06 3.7087e+06 3.0104e+06 3.2437e+06 4.1407e+06 2.3945e+06 4.7414e+06 1.8434e+06
1.2500 3.4618e+06 1.7663e+06 5.2852e+06 1.9676e+06 5.0185e+06 2.8167e+06 4.2840e+06 2.9868e+06 3.9369e+06 3.2051e+06 3.4448e+06 4.3876e+06 2.5477e+06 5.0185e+06 1.9676e+06
