# Job started on: Wed Aug  4 01:17:48 CEST 2021 ........
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug  4 01:19:06 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 12
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf   fr=.5 .5     fr=2 2     fr=2 1     fr=1 2    fr=1 .5    fr=.5 1
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.1008 3.3033e+07 5.8403e+06 1.2300e+08 1.6308e+07 1.2139e+08 1.9327e+07 3.7023e+07 1.6545e+07 4.9534e+07 9.4465e+07 9.1075e+07 1.2139e+08 1.6308e+07 1.1814e+08 1.9995e+07
0.2017 6.0797e+07 1.3620e+07 2.1192e+08 3.0457e+07 2.0906e+08 3.9098e+07 6.5513e+07 3.1912e+07 8.9686e+07 1.5230e+08 1.5758e+08 2.0227e+08 3.0457e+07 2.0906e+08 3.2762e+07
0.3025 8.6486e+07 2.0208e+07 2.8816e+08 3.9680e+07 2.8432e+08 6.0378e+07 8.9870e+07 4.7495e+07 1.2547e+08 1.8147e+08 2.1070e+08 2.6264e+08 4.4048e+07 2.8432e+08 3.9680e+07
0.4034 1.1188e+08 2.3882e+07 3.5619e+08 4.2490e+07 3.5153e+08 8.5914e+07 1.1188e+08 6.4398e+07 1.5936e+08 1.8996e+08 2.5586e+08 3.1570e+08 5.7898e+07 3.5153e+08 4.2490e+07
0.5042 1.3725e+08 2.6061e+07 4.1874e+08 4.2681e+07 4.1341e+08 1.1608e+08 1.3725e+08 8.2741e+07 1.9176e+08 1.8535e+08 2.9474e+08 3.6658e+08 7.2052e+07 4.1341e+08 4.2681e+07
0.6050 1.6257e+08 2.6654e+07 4.7754e+08 4.1345e+07 4.7173e+08 1.5033e+08 1.6257e+08 1.0234e+08 2.2281e+08 1.7372e+08 3.2860e+08 4.1811e+08 8.6382e+07 4.7173e+08 4.1345e+07
0.7059 1.8729e+08 2.4506e+07 5.3235e+08 3.9273e+07 5.2623e+08 1.6716e+08 1.8729e+08 1.2261e+08 2.5198e+08 1.5943e+08 3.5767e+08 4.6964e+08 1.0052e+08 5.2623e+08 3.9273e+07
0.8067 2.1060e+08 2.2099e+07 5.8178e+08 3.7068e+07 5.7526e+08 1.8200e+08 2.2460e+08 1.4276e+08 2.7843e+08 1.4512e+08 3.8142e+08 5.1828e+08 1.1400e+08 5.7526e+08 3.7068e+07
0.9076 2.3153e+08 2.0084e+07 6.2385e+08 3.5296e+07 6.1655e+08 1.9476e+08 2.6040e+08 1.6188e+08 3.0115e+08 1.3221e+08 3.9908e+08 5.5997e+08 1.2627e+08 6.1655e+08 3.5296e+07
1.0084 2.4923e+08 1.8491e+07 6.5729e+08 3.3904e+07 6.4890e+08 2.0511e+08 2.9222e+08 1.7903e+08 3.1943e+08 1.2111e+08 4.1065e+08 5.9275e+08 1.3686e+08 6.4890e+08 3.3904e+07
1.1092 2.6294e+08 1.7340e+07 6.7976e+08 3.2796e+07 6.7020e+08 2.1275e+08 3.1807e+08 1.9341e+08 3.3250e+08 1.1159e+08 4.1547e+08 6.1382e+08 1.4538e+08 6.7020e+08 3.2796e+07
