pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.101 18858859.764 3334283.858 70221891.772 9310395.212 69302727.173 11033971.563 21136789.423 9445700.808 28279440.545 53930983.791 51995599.944 69302727.173 9310395.212 67447270.683 11415339.236
0.202 34809708.304 7798217.463 121336141.318 17438348.698 119698630.162 22385808.103 37509884.042 18271418.185 51350288.648 87200331.837 90223429.355 115810972.558 17438348.698 119698630.162 18758091.081
0.302 49643896.176 11599609.809 165406945.888 22776747.685 163202744.499 34657622.775 51586348.650 27262641.917 72021132.359 104165735.946 120944070.997 150758190.824 25284026.765 163202744.499 22776747.685
0.403 64361658.464 13738694.382 204906856.705 24443393.530 202226079.726 49424093.004 64361658.464 37046496.977 91675669.403 109279054.717 147189613.287 181614011.235 33307215.782 202226079.726 24443393.530
0.504 79102940.227 15020049.000 241337451.297 24598853.128 238265548.409 66901779.975 79102940.227 47687113.860 110519342.935 106824990.681 169871042.640 211275452.301 41526594.165 238265548.409 24598853.128
0.605 93837794.184 15385080.680 275643109.028 23864941.875 272289491.607 86772686.226 93837794.184 59072152.653 128609207.862 100273738.117 189672751.239 241339239.259 49860960.431 272289491.607 23864941.875
0.706 108233315.916 14161811.308 307640588.006 22695536.419 304103891.475 96600358.206 108233315.916 70855287.866 145617122.881 92133256.215 206694485.042 271401006.389 58089662.640 304103891.475 22695536.419
0.807 121804820.779 12781408.995 336484371.477 21439036.546 332713396.018 105263425.365 129902007.346 82568168.160 161035689.694 83933122.467 220602064.300 299757846.693 65934233.470 332713396.018 21439036.546
0.908 133975223.660 11621640.358 360991851.080 20424089.726 356767693.810 112698201.357 150680897.686 93672134.091 174260953.679 76503538.721 230928312.782 324027581.709 73066347.737 356767693.810 20424089.726
1.008 144237952.418 10701376.151 380396275.508 19621408.092 375540694.636 118704194.601 169117740.463 103610803.761 184865101.075 70090512.448 237657244.956 343044763.053 79205577.852 375540694.636 19621408.092
1.109 152141983.279 10033247.091 393321801.756 18976376.678 387790207.627 123101114.104 184041228.499 111910629.748 192390695.369 64568053.222 240398683.323 355167689.116 84119576.820 387790207.627 18976376.678
1.210 157559028.875 9639177.439 399255562.287 18497643.963 393090837.575 125896863.961 195004237.610 118321076.557 196814330.325 59900767.887 239192475.438 359878816.917 87711425.618 393090837.575 18497643.963
1.311 160603225.755 9509888.087 398890663.995 18188332.650 392188270.058 127189480.808 202082955.129 122780923.416 198408194.315 56103659.594 234682012.537 358034950.608 89985416.531 392188270.058 18188332.650
1.412 161208098.023 9660367.141 392987659.468 18041918.656 385929936.043 126946688.394 205112562.306 125203898.146 197177672.928 53069694.327 227497606.595 350664402.232 90948259.346 385929936.043 18041918.656
1.513 159733698.569 10081954.542 382506981.455 18072384.624 375264429.816 125381993.816 204756211.306 125860221.171 193618699.517 50797540.190 218273336.323 338913389.009 90799818.048 375264429.816 18072384.624
1.613 156553249.772 10858031.477 368348409.594 18415120.171 361067933.004 122721461.636 201576039.048 124924007.082 188211246.319 49615355.315 207556841.302 323843189.744 89654526.097 361067933.004 18415120.171
1.714 152006243.560 12001217.689 351401116.349 19113815.437 344223107.490 119174455.637 196141530.645 122622883.554 181395341.382 49609164.345 195854639.803 306456797.090 87668103.403 344223107.490 19113815.437
1.815 146404601.338 13501592.349 332600899.694 20168261.105 325618896.190 114928356.034 189006268.618 119254909.025 173537124.790 50707658.889 183666752.824 287721496.844 85025922.996 325618896.190 20168261.105
1.916 140023735.841 15420927.752 312949255.001 21656061.056 306250209.975 110151929.446 180657381.178 115070649.047 164959704.121 52963540.133 171487564.009 268646541.562 81906381.852 306250209.975 21656061.056
2.017 133116494.340 17566485.982 292873350.119 23385960.326 286503323.473 104997376.715 171512967.456 110303836.412 155929152.268 55915752.651 159489542.161 249608356.637 78442328.132 286503323.473 23385960.326
2.118 125943831.111 19509846.444 272883967.759 24932050.260 266876927.578 99648862.772 161935069.024 105128870.183 146770126.077 58460968.401 147869527.771 231010364.084 74753648.136 266876927.578 24932050.260
2.219 118678966.482 21161828.554 253360542.713 26205331.838 247732817.168 94220656.766 152191310.073 99707265.823 137656311.800 60126913.244 136764455.595 213153632.927 70925146.913 247732817.168 26205331.838
2.319 111437998.513 22503427.571 234532950.115 27185880.618 229294627.897 88787313.386 142480116.119 94177389.574 128698607.451 60937649.663 126248061.865 196195400.922 67047152.078 229294627.897 27185880.618
2.420 104338819.809 23318187.719 216599557.518 27647269.691 211743466.602 83437488.398 132994231.876 88662821.251 120014818.367 60908135.724 116361561.030 180251605.116 63201911.388 211743466.602 27647269.691
2.521 97459983.872 23707821.632 199662979.469 27697073.043 195170478.927 78220725.046 123819327.200 83230948.699 111683452.130 60128250.746 107124148.606 165354081.279 59421252.519 195170478.927 27697073.043
2.622 90849008.488 23774353.782 183769059.836 27441871.660 179632511.662 73184231.145 115037017.086 77940984.668 103757032.307 58714618.859 98529587.225 151523919.252 55746493.261 179632511.662 27441871.660
2.723 84551953.273 23597456.239 168949725.191 26964116.235 165144749.632 68357404.619 106704509.965 72845183.318 96253216.751 56815828.972 90565026.081 138730179.795 52208559.724 165144749.632 26964116.235
2.824 78576430.236 23240669.279 155182291.688 26328988.466 151684532.098 63758847.746 98840445.891 67962727.817 89195606.457 54638945.940 83207266.877 126948420.065 48819199.467 151684532.098 26328988.466
2.924 72949113.096 22752333.924 142433265.708 25585224.693 139229401.148 59393883.073 91454286.666 63321200.921 82577025.271 52415550.571 76430392.074 116133290.925 45591155.873 139229401.148 25585224.693
3.025 67654011.207 22168576.755 130671669.250 24767204.071 127732070.041 55274191.744 84545899.309 58921672.380 76391753.709 50106116.958 70193738.465 106214636.125 42530164.585 127732070.041 24767204.071
3.126 62699896.292 21496340.685 119829569.001 23879516.305 117141050.682 51390947.179 78101188.860 54768498.935 70625927.345 47719321.961 64465410.318 97146201.864 39637668.091 117141050.682 23879516.305
3.227 58064467.243 20753292.242 109853134.651 22938634.426 107391827.754 47745624.542 72113095.569 50868607.448 65261925.289 45305094.911 59209880.626 88852113.468 36912677.694 107391827.754 22938634.426
3.328 53745251.499 19962144.322 100691054.554 21966025.317 98438671.166 44331769.377 66545768.358 47210167.303 60285622.980 42901030.070 54390300.262 81281431.509 34352547.766 98438671.166 21966025.317
3.429 49727207.278 19140335.023 92281510.009 20977886.919 90219968.772 41140074.951 61389865.372 43787030.951 55666859.039 40535251.276 49974277.487 74372854.076 31950741.775 90219968.772 20977886.919
3.529 45992190.385 18302706.624 84575684.038 19987872.966 82687090.700 38162071.999 56616178.254 40590709.383 51393151.113 38229187.300 45929237.274 68072603.959 29702422.501 82687090.700 19987872.966
3.630 42524636.374 17459985.532 77511667.979 19005988.919 75783569.432 35386299.747 52204051.641 37610130.445 47439142.303 35997066.518 42225959.043 62330193.278 27600570.979 75783569.432 19005988.919
3.731 39311485.727 16623680.141 71046393.811 18042051.472 69466448.817 32804566.636 48127987.839 34837020.148 43785439.997 33850704.972 38835456.992 57092769.578 25639592.786 69466448.817 18042051.472
3.832 36338512.044 15801423.722 65129954.454 17103009.510 63685999.805 30409178.268 44366899.896 32262506.727 40414517.362 31795881.382 35729517.838 52321823.388 23813598.750 63685999.805 17103009.510
3.933 33590051.310 14997055.286 59718211.917 16191519.900 58398278.332 28187357.376 40898869.868 29874664.111 37305438.509 29835517.792 32884413.812 47965282.371 22115662.882 58398278.332 16191519.900
4.034 31051024.369 14214676.568 54774291.270 15311056.993 53566583.006 26128743.444 37703856.806 27662483.239 34439565.498 27971119.796 30278190.480 43992885.767 20537501.480 53566583.006 15311056.993
