# FONLL heavy quark hadroproduction cross section, calculated on Tue Apr  7 18:40:05 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.0501 1.4553e+07 3.1566e+06 5.5534e+07 7.2058e+06 5.4916e+07 9.4343e+06 1.5292e+07 7.5038e+06 2.1604e+07 5.4916e+07 3.4621e+07 5.0789e+07 7.2058e+06 5.2060e+07 1.1621e+07
0.1001 2.7546e+07 6.6803e+06 1.0100e+08 1.3735e+07 9.9829e+07 1.8874e+07 2.8340e+07 1.4529e+07 4.0563e+07 9.9829e+07 6.3830e+07 9.2090e+07 1.3735e+07 9.6734e+07 2.1282e+07
0.1502 3.9115e+07 1.0258e+07 1.3714e+08 1.9639e+07 1.3546e+08 2.7870e+07 3.9562e+07 2.1034e+07 5.7198e+07 1.3546e+08 8.8541e+07 1.2580e+08 1.9639e+07 1.3489e+08 2.9109e+07
0.2002 4.9861e+07 1.4016e+07 1.7050e+08 2.5233e+07 1.6838e+08 3.6793e+07 4.9861e+07 2.7333e+07 7.2389e+07 1.6262e+08 1.1020e+08 1.5428e+08 2.5233e+07 1.6838e+08 3.5295e+07
0.2503 6.0002e+07 1.7997e+07 2.0062e+08 3.0622e+07 1.9810e+08 4.5820e+07 6.0002e+07 3.3544e+07 8.6459e+07 1.8262e+08 1.2941e+08 1.7874e+08 3.0622e+07 1.9810e+08 4.0074e+07
0.3003 6.9744e+07 2.2281e+07 2.2784e+08 3.5897e+07 2.2498e+08 5.5249e+07 6.9744e+07 3.9794e+07 9.9691e+07 1.9656e+08 1.4665e+08 2.0039e+08 3.5897e+07 2.2498e+08 4.3640e+07
0.3504 7.9239e+07 2.6901e+07 2.5294e+08 4.1124e+07 2.4977e+08 6.5320e+07 7.9239e+07 4.6181e+07 1.1230e+08 2.0524e+08 1.6230e+08 2.2015e+08 4.1124e+07 2.4977e+08 4.6149e+07
0.4004 8.8506e+07 3.1770e+07 2.7621e+08 4.6297e+07 2.7277e+08 7.6023e+07 8.8506e+07 5.2707e+07 1.2431e+08 2.0948e+08 1.7646e+08 2.3840e+08 4.6297e+07 2.7277e+08 4.7774e+07
0.4505 9.7533e+07 3.4676e+07 2.9783e+08 4.8668e+07 2.9415e+08 8.7285e+07 9.7533e+07 5.9346e+07 1.3572e+08 2.1003e+08 1.8920e+08 2.5536e+08 5.1399e+07 2.9415e+08 4.8668e+07
0.5005 1.0629e+08 3.5513e+07 3.1791e+08 4.8966e+07 3.1405e+08 9.6051e+07 1.0629e+08 6.6062e+07 1.4653e+08 2.0753e+08 2.0056e+08 2.7117e+08 5.6403e+07 3.1405e+08 4.8966e+07
