# FONLL heavy quark hadroproduction cross section, calculated on Fri Mar 12 22:41:27 CET 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.05
# ptmax = 49.95
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.0500 1.4540e+07 3.1531e+06 5.5484e+07 7.1989e+06 5.4867e+07 9.4247e+06 1.5278e+07 7.4965e+06 2.1583e+07 5.4867e+07 3.4589e+07 5.0743e+07 7.1989e+06 5.2012e+07 1.1610e+07
0.1500 3.9082e+07 1.0247e+07 1.3705e+08 1.9622e+07 1.3536e+08 2.7843e+07 3.9531e+07 2.1014e+07 5.7150e+07 1.3536e+08 8.8472e+07 1.2571e+08 1.9622e+07 1.3478e+08 2.9088e+07
0.2500 5.9953e+07 1.7977e+07 2.0047e+08 3.0596e+07 1.9796e+08 4.5774e+07 5.9953e+07 3.3512e+07 8.6391e+07 1.8254e+08 1.2932e+08 1.7863e+08 3.0596e+07 1.9796e+08 4.0054e+07
0.3500 7.9173e+07 2.6867e+07 2.5277e+08 4.1087e+07 2.4960e+08 6.5247e+07 7.9173e+07 4.6136e+07 1.1221e+08 2.0519e+08 1.6220e+08 2.2002e+08 4.1087e+07 2.4960e+08 4.6135e+07
0.4500 9.7453e+07 3.4662e+07 2.9764e+08 4.8663e+07 2.9397e+08 8.7182e+07 9.7453e+07 5.9286e+07 1.3562e+08 2.1004e+08 1.8909e+08 2.5521e+08 5.1353e+07 2.9397e+08 4.8663e+07
0.5500 1.1474e+08 3.5549e+07 3.3659e+08 4.8785e+07 3.3259e+08 1.0203e+08 1.1474e+08 7.2791e+07 1.5669e+08 2.0292e+08 2.1062e+08 2.8602e+08 6.1265e+07 3.3259e+08 4.8785e+07
0.6500 1.3105e+08 3.4540e+07 3.7128e+08 4.7395e+07 3.6705e+08 1.1287e+08 1.3633e+08 8.6488e+07 1.7560e+08 1.8997e+08 2.2770e+08 3.1404e+08 7.0739e+07 3.6705e+08 4.7395e+07
0.7500 1.4585e+08 3.2610e+07 4.0144e+08 4.5188e+07 3.9677e+08 1.2201e+08 1.6144e+08 9.9780e+07 1.9192e+08 1.7467e+08 2.4051e+08 3.3860e+08 7.9444e+07 3.9677e+08 4.5188e+07
0.8500 1.5860e+08 3.0404e+07 4.2613e+08 4.2767e+07 4.2075e+08 1.2942e+08 1.8476e+08 1.1207e+08 2.0514e+08 1.5900e+08 2.4898e+08 3.5835e+08 8.7071e+07 4.2075e+08 4.2767e+07
0.9500 1.6886e+08 2.8274e+07 4.4406e+08 4.0432e+07 4.3778e+08 1.3503e+08 2.0475e+08 1.2276e+08 2.1498e+08 1.4403e+08 2.5299e+08 3.7170e+08 9.3335e+07 4.3778e+08 4.0432e+07
1.0500 1.7643e+08 2.6292e+07 4.5469e+08 3.8213e+07 4.4745e+08 1.3883e+08 2.2058e+08 1.3144e+08 2.2140e+08 1.3032e+08 2.5285e+08 3.7825e+08 9.8101e+07 4.4745e+08 3.8213e+07
1.1500 1.8087e+08 2.4594e+07 4.5747e+08 3.6150e+07 4.4942e+08 1.4070e+08 2.3114e+08 1.3768e+08 2.2401e+08 1.1813e+08 2.4899e+08 3.7807e+08 1.0119e+08 4.4942e+08 3.6150e+07
1.2500 1.8237e+08 2.3251e+07 4.5307e+08 3.4309e+07 4.4440e+08 1.4077e+08 2.3670e+08 1.4155e+08 2.2319e+08 1.0750e+08 2.4199e+08 3.7183e+08 1.0273e+08 4.4440e+08 3.4309e+07
1.3500 1.8129e+08 2.2243e+07 4.4244e+08 3.2718e+07 4.3339e+08 1.3927e+08 2.3775e+08 1.4313e+08 2.1950e+08 9.8356e+07 2.3245e+08 3.6038e+08 1.0283e+08 4.3339e+08 3.2718e+07
1.4500 1.7801e+08 2.1554e+07 4.2679e+08 3.1399e+07 4.1759e+08 1.3643e+08 2.3489e+08 1.4258e+08 2.1346e+08 9.0624e+07 2.2097e+08 3.4476e+08 1.0162e+08 4.1759e+08 3.1399e+07
1.5500 1.7293e+08 2.1217e+07 4.0738e+08 3.0401e+07 3.9825e+08 1.3249e+08 2.2890e+08 1.4027e+08 2.0558e+08 8.4338e+07 2.0819e+08 3.2615e+08 9.9360e+07 3.9825e+08 3.0401e+07
1.6500 1.6644e+08 2.1416e+07 3.8545e+08 2.9934e+07 3.7655e+08 1.2766e+08 2.2052e+08 1.3654e+08 1.9633e+08 7.9972e+07 1.9490e+08 3.0610e+08 9.6278e+07 3.7655e+08 2.9934e+07
1.7500 1.5891e+08 2.2098e+07 3.6193e+08 2.9964e+07 3.5339e+08 1.2215e+08 2.1044e+08 1.3172e+08 1.8610e+08 7.7392e+07 1.8144e+08 2.8526e+08 9.2584e+07 3.5339e+08 2.9964e+07
