# FONLL heavy quark hadroproduction cross section, calculated on Tue Mar 24 20:48:14 CET 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = D from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->D) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.025
# ptmax = 50.025
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.0250 2.6480e+05 1.5165e+05 3.9271e+05 1.6520e+05 3.7660e+05 2.2190e+05 3.1790e+05 2.3250e+05 2.9710e+05 2.6000e+05 2.5850e+05 3.2810e+05 1.9740e+05 3.7660e+05 1.6520e+05
0.0750 7.9320e+05 4.5437e+05 1.1762e+06 4.9500e+05 1.1280e+06 6.6470e+05 9.5210e+05 6.9640e+05 8.9000e+05 7.7880e+05 7.7430e+05 9.8260e+05 5.9110e+05 1.1280e+06 4.9500e+05
0.1250 1.3180e+06 7.5476e+05 1.9542e+06 8.2250e+05 1.8740e+06 1.1040e+06 1.5820e+06 1.1570e+06 1.4790e+06 1.2940e+06 1.2870e+06 1.6330e+06 9.8230e+05 1.8740e+06 8.2250e+05
0.1750 1.8370e+06 1.0516e+06 2.7233e+06 1.1460e+06 2.6120e+06 1.5390e+06 2.2040e+06 1.6120e+06 2.0610e+06 1.8030e+06 1.7930e+06 2.2750e+06 1.3690e+06 2.6120e+06 1.1460e+06
0.2250 2.3470e+06 1.3449e+06 3.4807e+06 1.4650e+06 3.3380e+06 1.9670e+06 2.8170e+06 2.0610e+06 2.6340e+06 2.3050e+06 2.2910e+06 2.9080e+06 1.7490e+06 3.3380e+06 1.4650e+06
0.2750 2.8470e+06 1.6313e+06 4.2221e+06 1.7770e+06 4.0490e+06 2.3860e+06 3.4170e+06 2.5000e+06 3.1950e+06 2.7960e+06 2.7790e+06 3.5270e+06 2.1220e+06 4.0490e+06 1.7770e+06
0.3250 3.3340e+06 1.9102e+06 4.9443e+06 2.0810e+06 4.7420e+06 2.7940e+06 4.0010e+06 2.9270e+06 3.7410e+06 3.2740e+06 3.2540e+06 4.1300e+06 2.4840e+06 4.7420e+06 2.0810e+06
0.3750 3.8070e+06 2.1811e+06 5.6462e+06 2.3760e+06 5.4150e+06 3.1910e+06 4.5690e+06 3.3420e+06 4.2720e+06 3.7390e+06 3.7160e+06 4.7160e+06 2.8370e+06 5.4150e+06 2.3760e+06
0.4250 4.2630e+06 2.4437e+06 6.3229e+06 2.6620e+06 6.0640e+06 3.5730e+06 5.1170e+06 3.7430e+06 4.7830e+06 4.1870e+06 4.1610e+06 5.2810e+06 3.1770e+06 6.0640e+06 2.6620e+06
0.4750 4.7000e+06 2.6947e+06 6.9714e+06 2.9350e+06 6.6860e+06 3.9400e+06 5.6410e+06 4.1270e+06 5.2740e+06 4.6170e+06 4.5870e+06 5.8220e+06 3.5030e+06 6.6860e+06 2.9350e+06
0.5250 5.1200e+06 2.9346e+06 7.5932e+06 3.1970e+06 7.2830e+06 4.2910e+06 6.1440e+06 4.4950e+06 5.7440e+06 5.0290e+06 4.9960e+06 6.3410e+06 3.8150e+06 7.2830e+06 3.1970e+06
0.5750 5.5180e+06 3.1639e+06 8.1832e+06 3.4460e+06 7.8490e+06 4.6260e+06 6.6210e+06 4.8450e+06 6.1910e+06 5.4210e+06 5.3840e+06 6.8340e+06 4.1110e+06 7.8490e+06 3.4460e+06
0.6250 5.8930e+06 3.3810e+06 8.7399e+06 3.6820e+06 8.3830e+06 4.9410e+06 7.0710e+06 5.1750e+06 6.6120e+06 5.7910e+06 5.7500e+06 7.2980e+06 4.3910e+06 8.3830e+06 3.6820e+06
0.6750 6.2470e+06 3.5849e+06 9.2647e+06 3.9040e+06 8.8870e+06 5.2380e+06 7.4950e+06 5.4860e+06 7.0080e+06 6.1390e+06 6.0940e+06 7.7360e+06 4.6550e+06 8.8870e+06 3.9040e+06
0.7250 6.5770e+06 3.7760e+06 9.7537e+06 4.1120e+06 9.3570e+06 5.5150e+06 7.8890e+06 5.7760e+06 7.3780e+06 6.4660e+06 6.4140e+06 8.1440e+06 4.9000e+06 9.3570e+06 4.1120e+06
0.7750 6.8830e+06 3.9544e+06 1.0207e+07 4.3050e+06 9.7920e+06 5.7740e+06 8.2550e+06 6.0460e+06 7.7210e+06 6.7690e+06 6.7120e+06 8.5220e+06 5.1280e+06 9.7920e+06 4.3050e+06
0.8250 7.1650e+06 4.1178e+06 1.0621e+07 4.4830e+06 1.0190e+07 6.0110e+06 8.5920e+06 6.2930e+06 8.0370e+06 7.0480e+06 6.9860e+06 8.8700e+06 5.3380e+06 1.0190e+07 4.4830e+06
0.8750 7.4210e+06 4.2682e+06 1.1006e+07 4.6460e+06 1.0560e+07 6.2270e+06 8.8980e+06 6.5190e+06 8.3240e+06 7.3020e+06 7.2340e+06 9.1860e+06 5.5290e+06 1.0560e+07 4.6460e+06
0.9250 7.6540e+06 4.4060e+06 1.1349e+07 4.7950e+06 1.0890e+07 6.4240e+06 9.1750e+06 6.7250e+06 8.5840e+06 7.5350e+06 7.4590e+06 9.4730e+06 5.7020e+06 1.0890e+07 4.7950e+06
0.9750 7.8610e+06 4.5285e+06 1.1660e+07 4.9280e+06 1.1190e+07 6.5990e+06 9.4220e+06 6.9070e+06 8.8150e+06 7.7420e+06 7.6590e+06 9.7290e+06 5.8570e+06 1.1190e+07 4.9280e+06
1.0250 8.0460e+06 4.6410e+06 1.1929e+07 5.0490e+06 1.1450e+07 6.7570e+06 9.6400e+06 7.0710e+06 9.0210e+06 7.9300e+06 7.8370e+06 9.9550e+06 5.9950e+06 1.1450e+07 5.0490e+06
1.0750 8.2090e+06 4.7371e+06 1.2167e+07 5.1530e+06 1.1680e+07 6.8950e+06 9.8310e+06 7.2150e+06 9.2020e+06 8.0930e+06 7.9920e+06 1.0150e+07 6.1160e+06 1.1680e+07 5.1530e+06
1.1250 8.3470e+06 4.8216e+06 1.2374e+07 5.2440e+06 1.1880e+07 7.0130e+06 9.9940e+06 7.3370e+06 9.3560e+06 8.2330e+06 8.1250e+06 1.0320e+07 6.2190e+06 1.1880e+07 5.2440e+06
1.1750 8.4590e+06 4.8953e+06 1.2541e+07 5.3220e+06 1.2040e+07 7.1110e+06 1.0130e+07 7.4380e+06 9.4810e+06 8.3510e+06 8.2320e+06 1.0460e+07 6.3030e+06 1.2040e+07 5.3220e+06
1.2250 8.5550e+06 4.9571e+06 1.2670e+07 5.3880e+06 1.2170e+07 7.1940e+06 1.0230e+07 7.5240e+06 9.5850e+06 8.4520e+06 8.3210e+06 1.0580e+07 6.3740e+06 1.2170e+07 5.3880e+06
1.2750 8.6280e+06 5.0065e+06 1.2785e+07 5.4400e+06 1.2280e+07 7.2590e+06 1.0320e+07 7.5900e+06 9.6670e+06 8.5300e+06 8.3900e+06 1.0660e+07 6.4290e+06 1.2280e+07 5.4400e+06
1.3250 8.6800e+06 5.0449e+06 1.2857e+07 5.4800e+06 1.2350e+07 7.3060e+06 1.0380e+07 7.6380e+06 9.7230e+06 8.5890e+06 8.4370e+06 1.0720e+07 6.4690e+06 1.2350e+07 5.4800e+06
1.3750 8.7140e+06 5.0745e+06 1.2904e+07 5.5100e+06 1.2400e+07 7.3390e+06 1.0410e+07 7.6700e+06 9.7590e+06 8.6310e+06 8.4660e+06 1.0760e+07 6.4940e+06 1.2400e+07 5.5100e+06
1.4250 8.7300e+06 5.0929e+06 1.2925e+07 5.5280e+06 1.2420e+07 7.3560e+06 1.0430e+07 7.6870e+06 9.7740e+06 8.6550e+06 8.4780e+06 1.0780e+07 6.5070e+06 1.2420e+07 5.5280e+06
1.4750 8.7290e+06 5.1019e+06 1.2921e+07 5.5360e+06 1.2420e+07 7.3590e+06 1.0420e+07 7.6880e+06 9.7710e+06 8.6640e+06 8.4730e+06 1.0770e+07 6.5060e+06 1.2420e+07 5.5360e+06
1.5250 8.7150e+06 5.1012e+06 1.2885e+07 5.5340e+06 1.2390e+07 7.3500e+06 1.0390e+07 7.6770e+06 9.7520e+06 8.6570e+06 8.4540e+06 1.0750e+07 6.4960e+06 1.2390e+07 5.5340e+06
1.5750 8.6830e+06 5.0944e+06 1.2841e+07 5.5240e+06 1.2350e+07 7.3280e+06 1.0350e+07 7.6520e+06 9.7140e+06 8.6340e+06 8.4190e+06 1.0710e+07 6.4730e+06 1.2350e+07 5.5240e+06
1.6250 8.6350e+06 5.0791e+06 1.2767e+07 5.5050e+06 1.2280e+07 7.2930e+06 1.0290e+07 7.6120e+06 9.6580e+06 8.5990e+06 8.3700e+06 1.0650e+07 6.4390e+06 1.2280e+07 5.5050e+06
1.6750 8.5740e+06 5.0575e+06 1.2666e+07 5.4780e+06 1.2190e+07 7.2480e+06 1.0200e+07 7.5630e+06 9.5870e+06 8.5510e+06 8.3050e+06 1.0560e+07 6.3950e+06 1.2190e+07 5.4780e+06
1.7250 8.5050e+06 5.0272e+06 1.2549e+07 5.4440e+06 1.2080e+07 7.1930e+06 1.0110e+07 7.5030e+06 9.5050e+06 8.4910e+06 8.2310e+06 1.0470e+07 6.3440e+06 1.2080e+07 5.4440e+06
1.7750 8.4210e+06 4.9926e+06 1.2424e+07 5.4030e+06 1.1960e+07 7.1290e+06 1.0010e+07 7.4330e+06 9.4090e+06 8.4200e+06 8.1470e+06 1.0360e+07 6.2840e+06 1.1960e+07 5.4030e+06
1.8250 8.3300e+06 4.9528e+06 1.2284e+07 5.3570e+06 1.1830e+07 7.0580e+06 9.8910e+06 7.3560e+06 9.3040e+06 8.3420e+06 8.0540e+06 1.0240e+07 6.2170e+06 1.1830e+07 5.3570e+06
1.8750 8.2300e+06 4.9058e+06 1.2126e+07 5.3040e+06 1.1680e+07 6.9780e+06 9.7640e+06 7.2700e+06 9.1890e+06 8.2520e+06 7.9520e+06 1.0120e+07 6.1430e+06 1.1680e+07 5.3040e+06
1.9250 8.1220e+06 4.8562e+06 1.1957e+07 5.2470e+06 1.1520e+07 6.8930e+06 9.6280e+06 7.1790e+06 9.0660e+06 8.1580e+06 7.8430e+06 9.9760e+06 6.0650e+06 1.1520e+07 5.2470e+06
1.9750 8.0060e+06 4.8010e+06 1.1777e+07 5.1850e+06 1.1350e+07 6.8000e+06 9.4820e+06 7.0790e+06 8.9330e+06 8.0530e+06 7.7260e+06 9.8270e+06 5.9800e+06 1.1350e+07 5.1850e+06
