#pp -> D0+X from pp -> b-quark
#(using the two-step approach Bolzoni, Kramer, J.Phys.G 41 (2014) 075006)
#for ALICE at 5.02 TeV
#CT14nlo, m_b = 4.5 GeV, m_c = 1.3 GeV
#sig-min/max from varying renormalization scale by factors 1/2-2 (nb/GeV)

pTmin   pTmax       cen           min          max    
1.00    2.00    4.2973E+03    3.1851E+03    6.1719E+03
2.00    3.00    2.1125E+03    1.5453E+03    3.0562E+03
3.00    4.00    1.0598E+03    7.7617E+02    1.5379E+03
4.00    5.00    5.8139E+02    4.2811E+02    8.3531E+02
5.00    6.00    3.3950E+02    2.5758E+02    4.7889E+02
6.00    7.00    2.1198E+02    1.6094E+02    2.9442E+02
7.00    8.00    1.3360E+02    1.0284E+02    1.8207E+02
8.00    10.00   7.2144E+01    5.6764E+01    9.5963E+01
10.00   12.00   3.3512E+01    2.6667E+01    4.3157E+01
12.00   16.00   1.3045E+01    1.0696E+01    1.6161E+01
16.00   24.00   2.9370E+00    2.4936E+00    3.4488E+00
