# 28.09.2018 by RM
# sqrt(s) = 5 TeV
# Ds meson
ptmin ptmax central lower upper
0.00 1.00 0.2860E+02 0.1263E+02 0.6004E+02
1.00 2.00 0.2763E+02 0.1453E+02 0.4908E+02
2.00 3.00 0.1311E+02 0.8021E+01 0.2041E+02
3.00 4.00 0.5921E+01 0.3987E+01 0.8488E+01
4.00 5.00 0.2842E+01 0.2040E+01 0.3863E+01
5.00 6.00 0.1475E+01 0.1102E+01 0.1933E+01
6.00 8.00 0.6520E+00 0.5098E+00 0.8228E+00
8.00 12.0 0.1784E+00 0.1457E+00 0.2175E+00
12.0 16.0 0.4320E-01 0.3632E-01 0.4965E-01
16.0 24.0 0.9600E-02 0.8469E-02 0.1120E-01
