pT RAAmin RAAcent RAAmax
0.255 0.395375 0.550592 0.738717
0.750 0.501039 0.670252 0.926888
1.250 0.602924 0.780411 1.093630
1.750 0.662011 0.836782 1.025530
2.250 0.645565 0.794919 0.957956
2.750 0.573272 0.699797 0.838368
3.250 0.513437 0.612402 0.725958
3.750 0.471371 0.545431 0.625834
4.250 0.433611 0.490166 0.551224
4.750 0.394385 0.440319 0.487707
5.250 0.385997 0.427970 0.471174
5.750 0.371204 0.409833 0.448553
6.250 0.355865 0.387700 0.420011
6.750 0.336709 0.366083 0.396281
7.250 0.329520 0.355005 0.381608
7.750 0.325933 0.349075 0.373404
8.250 0.321609 0.349375 0.378198
8.750 0.314874 0.337870 0.362115
9.250 0.320123 0.339519 0.360607
9.750 0.326953 0.346457 0.367629
10.25 0.301065 0.323810 0.347957
10.75 0.325193 0.342587 0.361970
11.25 0.304501 0.322052 0.341517
11.75 0.303307 0.325143 0.348371
12.25 0.313186 0.328856 0.346640
12.75 0.312766 0.329593 0.348245
13.25 0.315612 0.330793 0.347923
13.75 0.309246 0.325691 0.343779
14.25 0.331967 0.347588 0.365062
14.75 0.317835 0.333127 0.350100
15.25 0.323405 0.341245 0.360611
15.75 0.313162 0.328164 0.344835
16.25 0.325692 0.344146 0.364020
16.75 0.320884 0.336666 0.354043
17.25 0.332625 0.349370 0.367756
17.75 0.324166 0.343484 0.364241
18.25 0.320805 0.336345 0.353640
18.75 0.333024 0.355187 0.378739
19.25 0.344029 0.360931 0.379831
19.75 0.339001 0.355638 0.374327
20.25 0.342763 0.359491 0.378418
20.75 0.349956 0.367367 0.387094
21.25 0.363862 0.382026 0.402634
21.75 0.362320 0.380579 0.401432
22.25 0.354575 0.374014 0.395887
22.75 0.364511 0.385261 0.408546
23.25 0.370678 0.390070 0.412262
23.75 0.366997 0.386321 0.408446
24.25 0.354273 0.377232 0.402583
24.75 0.373324 0.394397 0.418305
25.25 0.374637 0.395851 0.419952
25.75 0.371478 0.395676 0.422487
26.25 0.374993 0.401361 0.430254
26.75 0.359747 0.379298 0.401812
27.25 0.375791 0.397926 0.423004
27.75 0.384633 0.407821 0.433965
28.25 0.390332 0.413529 0.439741
28.75 0.395904 0.419027 0.445275
29.25 0.378582 0.399677 0.423882
29.75 0.392845 0.418074 0.446175
30.25 0.402926 0.428949 0.457889
30.75 0.400625 0.423344 0.449292
31.25 0.408612 0.433188 0.460901
31.75 0.405284 0.439478 0.476062
32.25 0.405641 0.434590 0.466230
32.75 0.397776 0.421242 0.447764
33.25 0.406859 0.431602 0.459400
33.75 0.420448 0.446491 0.475615
34.25 0.428227 0.453745 0.482484
34.75 0.413299 0.438305 0.466361
35.25 0.414748 0.439638 0.467578
35.75 0.432513 0.459734 0.489999
36.25 0.434046 0.460347 0.489780
36.75 0.418687 0.446179 0.476497
37.25 0.424517 0.451870 0.482109
37.75 0.415361 0.441760 0.470989
38.25 0.428360 0.454890 0.484363
38.75 0.421002 0.451361 0.484285
39.25 0.440258 0.467830 0.498363
39.75 0.418584 0.448032 0.480042
