pT RAAmin RAAcent RAAmax
0.255 0.363301 0.529480 0.724437
0.750 0.465876 0.661027 0.923047
1.250 0.596760 0.798208 1.104780
1.750 0.738228 1.034200 1.344430
2.250 0.739851 0.972932 1.215000
2.750 0.645889 0.830259 1.054660
3.250 0.638674 0.841011 1.089230
3.750 0.506203 0.606070 0.729592
4.250 0.472441 0.585194 0.702339
4.750 0.400817 0.500662 0.604990
5.250 0.378776 0.454354 0.533352
5.750 0.382182 0.427310 0.476123
6.250 0.275131 0.353535 0.432298
6.750 0.286749 0.333546 0.380789
7.250 0.284445 0.336084 0.388328
7.750 0.290137 0.319677 0.349923
8.250 0.259810 0.330087 0.400714
8.750 0.224761 0.259651 0.295324
9.250 0.259602 0.275994 0.294314
9.750 0.276631 0.332349 0.388781
10.25 0.309609 0.332238 0.356562
10.75 0.281165 0.308274 0.336720
11.25 0.256180 0.278761 0.302639
11.75 0.273063 0.314989 0.357618
12.25 0.264238 0.325452 0.387163
12.75 0.260776 0.288071 0.316424
13.25 0.269551 0.301679 0.334657
13.75 0.282643 0.311221 0.340762
14.25 0.318608 0.336811 0.356709
14.75 0.264163 0.308804 0.354019
15.25 0.285159 0.298667 0.313892
15.75 0.260211 0.310056 0.360363
16.25 0.316225 0.337286 0.359609
16.75 0.290353 0.305017 0.321145
17.25 0.296258 0.314756 0.334575
17.75 0.323804 0.348338 0.374044
18.25 0.289521 0.309156 0.330133
18.75 0.300687 0.315367 0.331788
19.25 0.316514 0.349496 0.383567
19.75 0.310147 0.334596 0.360395
20.25 0.340794 0.374147 0.408583
20.75 0.308108 0.329632 0.352659
21.25 0.340735 0.365302 0.391648
21.75 0.300706 0.315834 0.333231
22.25 0.317714 0.344695 0.373286
22.75 0.353547 0.378051 0.404735
23.25 0.351676 0.374340 0.399428
23.75 0.342295 0.369288 0.398326
24.25 0.344634 0.385098 0.426950
24.75 0.328400 0.368931 0.410797
25.25 0.338312 0.384418 0.431863
25.75 0.366505 0.389450 0.415128
26.25 0.335787 0.357442 0.381560
26.75 0.348280 0.368626 0.391734
27.25 0.379483 0.406240 0.435446
27.75 0.351887 0.371747 0.394393
28.25 0.358146 0.380468 0.405465
28.75 0.397081 0.422703 0.451196
29.25 0.393712 0.422839 0.454553
29.75 0.382298 0.404862 0.430370
30.25 0.400352 0.423080 0.449064
30.75 0.405706 0.429344 0.456214
31.25 0.406475 0.433890 0.464151
31.75 0.389854 0.412293 0.437806
32.25 0.383030 0.425431 0.469646
32.75 0.450376 0.477469 0.507947
33.25 0.372305 0.426663 0.482440
33.75 0.430139 0.464526 0.501463
34.25 0.371815 0.425375 0.480357
34.75 0.386795 0.480690 0.575611
35.25 0.386742 0.446216 0.507088
35.75 0.411186 0.454009 0.498787
36.25 0.422536 0.463290 0.506176
36.75 0.405206 0.430065 0.457790
37.25 0.409120 0.434440 0.462617
37.75 0.443687 0.483340 0.525305
38.25 0.407934 0.436047 0.466746
38.75 0.422057 0.469246 0.518235
39.25 0.445948 0.482845 0.522145
39.75 0.359543 0.383533 0.409783
