pT V2min V2cent V2max
0.755 0.0532160 0.0604913 0.0655220
2.250 0.1200410 0.1438010 0.1533580
3.750 0.1165440 0.1442780 0.1577940
5.250 0.1137300 0.1196620 0.1244120
6.750 0.1060690 0.1134620 0.1211440
8.250 0.0944516 0.1017780 0.1092640
9.750 0.0929572 0.0950194 0.0977286
11.25 0.0832540 0.0874942 0.0919144
12.75 0.0808009 0.0820335 0.0837574
14.25 0.0707432 0.0749580 0.0792895
15.75 0.0704220 0.0712979 0.0725923
17.25 0.0637517 0.0653655 0.0670322
18.75 0.0543945 0.0614153 0.0684473
20.25 0.0603571 0.0610433 0.0618616
