
pt RAAcolK1.5 RAAcolradLPMK0.8 RAAcolradLPMgludampK0.8
0.250 0.498604 0.484778 0.489876
0.750 0.535566 0.522874 0.527623
1.250 0.534402 0.525593 0.527424
1.750 0.587317 0.583851 0.582878
2.250 0.637988 0.643459 0.639177
2.750 0.654863 0.672620 0.666844
3.250 0.633339 0.663907 0.656510
3.750 0.587695 0.630887 0.624171
4.250 0.540718 0.589203 0.584171
4.750 0.496823 0.545538 0.542669
5.250 0.454477 0.499356 0.499457
5.750 0.426152 0.464401 0.468786
6.250 0.412407 0.441418 0.449998
6.750 0.405116 0.428413 0.438697
7.250 0.396885 0.411666 0.429141
7.750 0.389015 0.394181 0.417647
8.250 0.382250 0.379434 0.405968
8.750 0.375007 0.365853 0.398403
9.250 0.371524 0.354244 0.393357
9.750 0.368848 0.342377 0.388177
10.25 0.365413 0.338030 0.384240
10.75 0.367935 0.329948 0.382997
11.25 0.366278 0.327183 0.378002
11.75 0.370826 0.319017 0.376267
12.25 0.372360 0.318146 0.380721
15.00 0.383371 0.314948 0.395012
20.00 0.424470 0.315915 0.434075
25.00 0.454515 0.321561 0.462052
30.00 0.483889 0.327526 0.485091
35.00 0.529651 0.348028 0.536913
