# PtCent in GeV
PtCent R_AA
0.122140 1.01194
0.385500 1.01194
0.604960 1.02626
1.000000 1.04536
1.351150 1.06923
1.658400 1.08355
2.229010 1.11220
2.887400 1.12175
3.458020 1.09788
3.896950 1.06446
4.204200 1.03103
4.555340 0.99284
4.818700 0.95942
5.169850 0.91645
5.477100 0.86870
5.828240 0.83528
6.135500 0.78753
6.311070 0.76366
6.574430 0.73501
6.881680 0.70637
7.145040 0.68727
7.408400 0.65862
7.979010 0.61565
8.330150 0.59655
8.681300 0.58223
9.032440 0.56313
9.646950 0.54403
10.26145 0.52493
10.78817 0.50106
11.27099 0.49151
11.92939 0.48196
12.76336 0.47241
13.42176 0.46764
14.03626 0.46764
14.69466 0.46286
15.26527 0.46286
16.05534 0.46286
16.71374 0.46764
17.59160 0.45809
18.11832 0.46286
18.90840 0.46286
19.96183 0.46764
21.27863 0.47241
22.15649 0.47719
22.99046 0.47719
23.82443 0.47719
24.87786 0.48196
