# PtCent in GeV
PtCent R_AA
0.10 2.09721
0.30 2.09427
0.50 2.09118
0.70 2.10059
0.90 2.10966
1.10 2.12657
1.30 2.13151
1.50 2.14227
1.70 2.14977
1.90 2.15413
2.10 2.15484
2.30 2.16223
2.50 2.15368
2.70 2.14621
2.90 2.13970
3.10 2.12362
3.30 2.10293
3.50 2.07289
3.70 2.02788
3.90 2.01231
4.10 1.98109
4.30 1.95755
4.50 1.92450
4.70 1.88741
4.90 1.84785
5.10 1.79334
5.30 1.75234
5.50 1.70064
5.70 1.66479
5.90 1.62065
6.10 1.58000
6.30 1.53227
6.50 1.48651
6.70 1.45172
6.90 1.41003
7.10 1.36331
7.30 1.33162
7.50 1.30331
7.70 1.25177
7.90 1.22261
8.10 1.19585
8.30 1.15566
8.50 1.12621
8.70 1.09329
8.90 1.07001
9.10 1.05076
9.30 1.02115
9.50 0.99314
9.70 0.97400
9.90 0.94330
10.1 0.91016
10.3 0.91140
10.5 0.87706
10.7 0.85823
10.9 0.85218
11.1 0.83385
11.3 0.83708
11.5 0.80298
11.7 0.78271
11.9 0.77461
12.1 0.78101
12.3 0.76502
12.5 0.74848
12.7 0.73232
12.9 0.72885
13.1 0.71004
13.3 0.71485
13.5 0.69901
13.7 0.69153
13.9 0.68497
14.1 0.68103
14.3 0.67010
14.5 0.67224
14.7 0.66442
14.9 0.65781
15.1 0.66027
15.3 0.65918
15.5 0.64778
15.7 0.65167
15.9 0.64969
16.1 0.65256
16.3 0.65002
16.5 0.63527
16.7 0.64050
16.9 0.63350
17.1 0.63754
17.3 0.64942
17.5 0.64600
17.7 0.63322
17.9 0.62128
18.1 0.62823
18.3 0.63223
18.5 0.62863
18.7 0.63467
18.9 0.63021
19.1 0.62896
19.3 0.64014
19.5 0.63475
19.7 0.63640
19.9 0.63837
20.1 0.63926
20.3 0.62827
20.5 0.62950
20.7 0.63605
20.9 0.63812
21.1 0.64028
21.3 0.65149
21.5 0.64039
21.7 0.63675
21.9 0.63211
22.1 0.63692
22.3 0.63989
22.5 0.63413
22.7 0.62695
22.9 0.63548
23.1 0.63530
23.3 0.65009
23.5 0.64916
23.7 0.64757
23.9 0.63323
24.1 0.64076
24.3 0.63050
24.5 0.63900
24.7 0.62975
24.9 0.63480
