pT(GeV) R_AA
0.10 1.08974
0.30 1.08764
0.50 1.08344
0.70 1.07869
0.90 1.07108
1.10 1.06046
1.30 1.04730
1.50 1.03340
1.70 1.01731
1.90 0.99950
2.10 0.97968
2.30 0.95879
2.50 0.93704
2.70 0.91235
2.90 0.88764
3.10 0.86425
3.30 0.83376
3.50 0.80853
3.70 0.78492
3.90 0.75665
4.10 0.73444
4.30 0.70881
4.50 0.68603
4.70 0.66447
4.90 0.64404
5.10 0.62618
5.30 0.60887
5.50 0.59681
5.70 0.58279
5.90 0.57603
6.10 0.56178
6.30 0.54836
6.50 0.53581
6.70 0.53263
6.90 0.51826
7.10 0.51170
7.30 0.50564
7.50 0.50105
7.70 0.49631
7.90 0.49393
8.10 0.48788
8.30 0.48544
8.50 0.48257
8.70 0.48038
8.90 0.47901
9.10 0.47699
9.30 0.47544
9.50 0.47458
9.70 0.47376
9.90 0.47255
10.1 0.47240
10.3 0.47159
10.5 0.47183
10.7 0.47135
10.9 0.47071
11.1 0.47094
11.3 0.47155
11.5 0.47141
11.7 0.47107
11.9 0.47186
12.1 0.47166
12.3 0.47260
12.5 0.47304
12.7 0.47306
12.9 0.47376
13.1 0.47382
13.3 0.47411
13.5 0.47451
13.7 0.47487
13.9 0.47552
14.1 0.47597
14.3 0.47679
14.5 0.47686
14.7 0.47807
14.9 0.47820
15.1 0.47871
15.3 0.47884
15.5 0.48022
15.7 0.48091
15.9 0.48157
16.1 0.48059
16.3 0.48237
16.5 0.48095
16.7 0.48264
16.9 0.48243
17.1 0.48214
17.3 0.48399
17.5 0.48422
17.7 0.48253
17.9 0.48495
18.1 0.48422
18.3 0.48603
18.5 0.48360
18.7 0.48521
18.9 0.48733
19.1 0.48442
19.3 0.48550
19.5 0.48590
19.7 0.48860
19.9 0.48676
20.1 0.48712
20.3 0.48938
20.5 0.48955
20.7 0.48534
20.9 0.48605
21.1 0.48785
21.3 0.48800
21.5 0.48808
21.7 0.48968
21.9 0.48720
22.1 0.48746
22.3 0.48870
22.5 0.49076
22.7 0.49034
22.9 0.49377
23.1 0.48759
23.3 0.48285
23.5 0.48716
23.7 0.49308
23.9 0.48751
24.1 0.48523
24.3 0.48143
24.5 0.48517
24.7 0.49128
24.9 0.49467
