pT v2
0.1 -0.00045322
0.3 0.00200
0.5 0.00297
0.7 0.00472
0.9 0.00843
1.1 0.01194
1.3 0.01729
1.5 0.02083
1.7 0.02448
1.9 0.02927
2.1 0.03340
2.3 0.03715
2.5 0.04159
2.7 0.04594
2.9 0.04705
3.1 0.05129
3.3 0.05572
3.5 0.05953
3.7 0.06114
3.9 0.05933
4.1 0.06348
4.3 0.06544
4.5 0.06364
4.7 0.06523
4.9 0.06268
5.1 0.06345
5.3 0.06425
5.5 0.06093
5.7 0.06051
5.9 0.05879
6.1 0.05518
6.3 0.05233
6.5 0.05067
6.7 0.04888
6.9 0.04919
7.1 0.04733
7.3 0.04388
7.5 0.04255
7.7 0.04036
7.9 0.04008
8.1 0.04024
8.3 0.03606
8.5 0.03565
8.7 0.03485
8.9 0.03473
9.1 0.03468
9.3 0.03327
9.5 0.03426
9.7 0.02978
9.9 0.02968
10.1 0.02646
10.3 0.02517
10.5 0.02699
10.7 0.02488
10.9 0.02216
11.1 0.02448
11.3 0.02362
11.5 0.02273
11.7 0.02659
11.9 0.02232
12.1 0.02141
12.3 0.01937
12.5 0.02274
12.7 0.01759
12.9 0.02016
13.1 0.02357
13.3 0.02074
13.5 0.01636
13.7 0.01990
13.9 0.01849
14.1 0.01827
14.3 0.01886
14.5 0.01803
14.7 0.01759
14.9 0.01410
