# PtCent in GeV
PtCent R_AA
0.10 1.92820
0.30 1.93191
0.50 1.93376
0.70 1.93283
0.90 1.92874
1.10 1.91980
1.30 1.90290
1.50 1.87873
1.70 1.84841
1.90 1.81402
2.10 1.77372
2.30 1.73006
2.50 1.68013
2.70 1.63091
2.90 1.58047
3.10 1.52404
3.30 1.47059
3.50 1.41645
3.70 1.36204
3.90 1.30306
4.10 1.25699
4.30 1.20280
4.50 1.15030
4.70 1.10843
4.90 1.06072
5.10 1.01757
5.30 0.98420
5.50 0.94428
5.70 0.91393
5.90 0.88288
6.10 0.85262
6.30 0.82622
6.50 0.79822
6.70 0.77684
6.90 0.75243
7.10 0.73211
7.30 0.71488
7.50 0.69850
7.70 0.68471
7.90 0.66832
8.10 0.65439
8.30 0.64168
8.50 0.62938
8.70 0.62108
8.90 0.61276
9.10 0.60183
9.30 0.59865
9.50 0.58694
9.70 0.57996
9.90 0.57326
10.1 0.56773
10.3 0.56576
10.5 0.55767
10.7 0.55140
10.9 0.54760
11.1 0.54493
11.3 0.54115
11.5 0.53770
11.7 0.53623
11.9 0.53332
12.1 0.53073
12.3 0.53080
12.5 0.52785
12.7 0.52729
12.9 0.52608
13.1 0.52420
13.3 0.52327
13.5 0.52229
13.7 0.52108
13.9 0.52031
14.1 0.52067
14.3 0.51966
14.5 0.51897
14.7 0.51783
14.9 0.51746
15.1 0.51740
15.3 0.51783
15.5 0.51636
15.7 0.51733
15.9 0.51656
16.1 0.51662
16.3 0.51723
16.5 0.51582
16.7 0.51651
16.9 0.51678
17.1 0.51611
17.3 0.51648
17.5 0.51725
17.7 0.51508
17.9 0.51751
18.1 0.51737
18.3 0.51585
18.5 0.51697
18.7 0.51619
18.9 0.51536
19.1 0.51789
19.3 0.51401
19.5 0.51794
19.7 0.51816
19.9 0.51635
20.1 0.51423
20.3 0.51777
20.5 0.52068
20.7 0.51363
20.9 0.51614
21.1 0.51680
21.3 0.51778
21.5 0.51592
21.7 0.51903
21.9 0.51921
22.1 0.51807
22.3 0.51807
22.5 0.51207
22.7 0.51471
22.9 0.51780
23.1 0.51851
23.3 0.51746
23.5 0.51869
23.7 0.51771
23.9 0.51462
24.1 0.51602
24.3 0.51290
24.5 0.51948
24.7 0.51617
24.9 0.51974
