pT v2
0.1 0.00231
0.3 0.00136
0.5 0.00255
0.7 0.00617
0.9 0.01017
1.1 0.01250
1.3 0.01856
1.5 0.02196
1.7 0.02737
1.9 0.03288
2.1 0.03703
2.3 0.04102
2.5 0.04486
2.7 0.04879
2.9 0.05162
3.1 0.05459
3.3 0.05803
3.5 0.05970
3.7 0.06160
3.9 0.06412
4.1 0.06676
4.3 0.06446
4.5 0.06626
4.7 0.06601
4.9 0.06652
5.1 0.06403
5.3 0.06370
5.5 0.06391
5.7 0.06116
5.9 0.06187
6.1 0.05487
6.3 0.05667
6.5 0.05094
6.7 0.05370
6.9 0.05088
7.1 0.04901
7.3 0.04884
7.5 0.04748
7.7 0.04474
7.9 0.04286
8.1 0.04208
8.3 0.03611
8.5 0.03686
8.7 0.03521
8.9 0.03454
9.1 0.03160
9.3 0.03196
9.5 0.03076
9.7 0.02796
9.9 0.03021
10.1 0.02789
10.3 0.02619
10.5 0.02457
10.7 0.02361
10.9 0.02466
11.1 0.02337
11.3 0.02304
11.5 0.02437
11.7 0.02139
11.9 0.02133
12.1 0.02081
12.3 0.01943
12.5 0.01915
12.7 0.02009
12.9 0.01792
13.1 0.01883
13.3 0.01558
13.5 0.01780
13.7 0.01787
13.9 0.01600
14.1 0.01496
14.3 0.01644
14.5 0.01436
14.7 0.01607
14.9 0.01277
16.9 0.01277
18.9 0.01277
20.9 0.01277
