# 0-10%, D0-meson R_AA
# uncertainty band from w/ or w/o hadronic phase diffusion
PtCent R_AA_max R_AA_min
0.10 0.40526 0.32908
0.30 0.46159 0.39212
0.50 0.52069 0.46055
0.70 0.59424 0.54450
0.90 0.66221 0.62649
1.10 0.72407 0.70806
1.30 0.78191 0.79026
1.50 0.82951 0.86520
1.70 0.85837 0.92068
1.90 0.87453 0.95930
2.10 0.87926 0.98041
2.30 0.86177 0.96995
2.50 0.83060 0.93444
2.70 0.79070 0.88202
2.90 0.73858 0.81086
3.10 0.68173 0.73156
3.30 0.62597 0.65332
3.50 0.57130 0.57943
3.70 0.52134 0.51435
3.90 0.47801 0.45918
4.10 0.43894 0.41221
4.30 0.40411 0.37228
4.50 0.37635 0.34093
4.70 0.35075 0.31429
4.90 0.32961 0.29394
5.10 0.31045 0.27615
5.30 0.29550 0.26123
5.50 0.28621 0.25171
5.70 0.27646 0.24251
5.90 0.26658 0.23395
6.10 0.26078 0.22923
6.30 0.25635 0.22454
6.50 0.25255 0.22212
6.70 0.24835 0.21833
6.90 0.24641 0.21641
7.10 0.24503 0.21588
7.30 0.24280 0.21450
7.50 0.24177 0.21364
7.70 0.24602 0.21682
7.90 0.24386 0.21474
8.10 0.24669 0.21713
8.30 0.24827 0.21880
8.50 0.24915 0.21909
8.70 0.25340 0.22191
8.90 0.25512 0.22281
9.10 0.25686 0.22465
9.30 0.26172 0.22723
9.50 0.26251 0.22930
9.70 0.26571 0.23194
9.90 0.26871 0.23391
10.1 0.27037 0.23641
10.3 0.27485 0.23950
10.5 0.27891 0.24361
10.7 0.28264 0.24669
10.9 0.28514 0.24974
11.1 0.28726 0.25484
11.3 0.28987 0.25794
11.5 0.29363 0.25916
11.7 0.29701 0.26469
11.9 0.30330 0.26926
