pT v2min v2max
0.1	-0.00102 0.0000172
0.3	0.00167	0.00160
0.5	0.00904	0.00438
0.7	0.01659	0.01432
0.9	0.02524	0.01731
1.1	0.03804	0.03170
1.3	0.05493	0.04448
1.5	0.06895	0.06664
1.7	0.10041	0.08067
1.9	0.09909	0.09496
2.1	0.11175	0.11315
2.3	0.11837	0.12551
2.5	0.12215	0.13392
2.7	0.12670	0.14162
2.9	0.12160	0.13143
3.1	0.12386	0.14118
3.3	0.12275	0.13514
3.5	0.11416	0.12811
3.7	0.11265	0.12935
3.9	0.10680	0.13203
4.1	0.10058	0.12172
4.3	0.09587	0.11749
4.5	0.08412	0.11364
4.7	0.08518	0.09923
4.9	0.08493	0.08548
5.1	0.07607	0.08639
5.3	0.07418	0.08025
5.5	0.06676	0.07365
5.7	0.06443	0.07643
5.9	0.06302	0.06787
6.1	0.05742	0.07254
6.3	0.05871	0.06387
6.5	0.05164	0.06082
6.7	0.05356	0.05907
6.9	0.04096	0.05097
7.1	0.03928	0.04878
7.3	0.03981	0.03842
7.5	0.02804	0.04387
7.7	0.04188	0.03876
7.9	0.04557	0.03846
