pT v2min v2max
0.10 0.00234 0.00151
0.30 0.00478 0.0037
0.50 0.00981 0.00781
0.70 0.01701 0.01349
0.90 0.02695 0.02001
1.10 0.04024 0.03036
1.30 0.05648 0.04733
1.50 0.07440 0.06728
1.70 0.09225 0.09033
1.90 0.10921 0.11267
2.10 0.12413 0.1323
2.30 0.13581 0.15161
2.50 0.14547 0.16567
2.70 0.15269 0.17811
2.90 0.15763 0.1842
3.10 0.16013 0.18726
3.30 0.16137 0.18735
3.50 0.16097 0.18632
3.70 0.15885 0.18106
3.90 0.15569 0.17609
4.10 0.15309 0.17392
4.30 0.14966 0.1686
4.50 0.14520 0.16044
4.70 0.13949 0.1553
4.90 0.13540 0.1465
5.10 0.13063 0.14269
5.30 0.12468 0.13923
5.50 0.12153 0.13522
5.70 0.11789 0.12792
5.90 0.11443 0.12255
6.10 0.11089 0.12171
6.30 0.10917 0.11542
6.50 0.10637 0.11415
6.70 0.09917 0.11363
6.90 0.09789 0.11046
7.10 0.09564 0.1072
7.30 0.09459 0.10056
7.50 0.09389 0.09893
7.70 0.09045 0.09689
7.90 0.08850 0.09289
8.10 0.08571 0.09087
8.30 0.08321 0.08986
8.50 0.08150 0.08751
8.70 0.08007 0.08705
8.90 0.07859 0.08656
9.10 0.07630 0.08561
9.30 0.07411 0.08348
9.50 0.07269 0.08139
9.70 0.06996 0.08031
9.90 0.06860 0.07824
10.1 0.06640 0.07548
10.3 0.06430 0.07232
10.5 0.06260 0.07099
10.7 0.05982 0.06876
10.9 0.05649 0.06658
11.1 0.05424 0.06427
11.3 0.05329 0.06314
11.5 0.05288 0.06216
11.7 0.05250 0.06132
11.9 0.05171 0.05986
