# 0-10%, Ds-meson R_AA
# uncertainty band from w/ or w/o hadronic phase diffusion
# Manually "extended" to avoid estrapolation problems (last values took from the old predictions or copied)
PtCent R_AA_max R_AA_min
0.10 0.56621 0.46967
0.30 0.65181 0.55870
0.50 0.74130 0.65754
0.70 0.83875 0.76702
0.90 0.94158 0.88645
1.10 1.04818 1.01612
1.30 1.15645 1.15415
1.50 1.26072 1.29906
1.70 1.35175 1.43229
1.90 1.41547 1.53571
2.10 1.45450 1.60759
2.30 1.46063 1.63177
2.50 1.43589 1.60839
2.70 1.39357 1.55155
2.90 1.31506 1.44401
3.10 1.22876 1.32015
3.30 1.13031 1.18136
3.50 1.03509 1.04858
3.70 0.93905 0.92142
3.90 0.85524 0.81433
4.10 0.78028 0.72329
4.30 0.71148 0.64506
4.50 0.64557 0.57473
4.70 0.59553 0.52325
4.90 0.54579 0.47446
5.10 0.50738 0.43764
5.30 0.47301 0.40586
5.50 0.44338 0.37951
5.70 0.41932 0.35869
5.90 0.39892 0.34096
6.10 0.38297 0.32712
6.30 0.36570 0.31355
6.50 0.35575 0.30543
6.70 0.34266 0.29456
6.90 0.33667 0.28898
7.10 0.32853 0.28350
7.30 0.31885 0.27517
7.50 0.31582 0.27232
7.70 0.30892 0.26635
7.90 0.30787 0.26507
8.10 0.30337 0.26458
8.30 0.30102 0.26177
8.50 0.30275 0.26350
8.70 0.30401 0.26214
8.90 0.30682 0.26336
9.10 0.30912 0.26337
9.30 0.31206 0.26502
9.50 0.31510 0.26889
9.70 0.31809 0.27070
9.90 0.32088 0.27777
10.1 0.32205 0.28086
10.3 0.32675 0.28490
10.5 0.32858 0.28915
10.7 0.33433 0.29305
10.9 0.33845 0.29632
11.1 0.34359 0.29914
11.3 0.34694 0.30471
11.5 0.34903 0.30852
11.7 0.35280 0.31154
11.9 0.35536 0.31584
16.5 0.46261 0.43058
24.5 0.53267 0.51288
29.5 0.60208 0.58294
36.0 0.60208 0.58294
50.0 0.60208 0.58294
