# 30-50%, Ds-meson R_AA
# uncertainty band from w/ or w/o hadronic phase diffusion
PtCent R_AA_max R_AA_min
0.10 0.61086 0.53000
0.30 0.70263 0.63000
0.50 0.79566 0.73788
0.70 0.89247 0.85373
0.90 0.98922 0.97411
1.10 1.08285 1.09648
1.30 1.17024 1.21783
1.50 1.24446 1.32692
1.70 1.29606 1.40434
1.90 1.32281 1.44506
2.10 1.32819 1.44993
2.30 1.30986 1.41658
2.50 1.27247 1.35306
2.70 1.22872 1.27779
2.90 1.16124 1.17727
3.10 1.09325 1.07936
3.30 1.01938 0.98143
3.50 0.95158 0.89669
3.70 0.88466 0.81901
3.90 0.82973 0.75724
4.10 0.78196 0.70567
4.30 0.73800 0.65985
4.50 0.69405 0.61637
4.70 0.66313 0.58684
4.90 0.62814 0.55431
5.10 0.60290 0.53072
5.30 0.57907 0.50977
5.50 0.55836 0.49120
5.70 0.54117 0.47685
5.90 0.52583 0.46331
6.10 0.51332 0.45305
6.30 0.49905 0.44007
6.50 0.49297 0.43504
6.70 0.48007 0.42483
6.90 0.47667 0.42217
7.10 0.46921 0.41502
7.30 0.45748 0.40793
7.50 0.45814 0.40663
7.70 0.45174 0.40042
7.90 0.45147 0.40159
8.10 0.44985 0.40162
8.30 0.44731 0.39917
8.50 0.45082 0.40366
8.70 0.44902 0.40209
8.90 0.45257 0.40890
9.10 0.45799 0.41024
9.30 0.46178 0.41351
9.50 0.46383 0.41683
9.70 0.46705 0.42027
9.90 0.47058 0.42331
10.1 0.47568 0.42634
10.3 0.47966 0.42944
10.5 0.48369 0.43383
10.7 0.48649 0.43613
10.9 0.49265 0.44053
11.1 0.49694 0.44340
11.3 0.50004 0.44654
11.5 0.50417 0.44948
11.7 0.50758 0.45215
11.9 0.51013 0.45600
