pT v2min v2max
0.1 0.00744 0.00121
0.3 0.01137 0.00176
0.5 0.02018 0.01134
0.7 0.02738 0.01443
0.9 0.03744 0.02574
1.1 0.04720 0.03697
1.3 0.05996 0.05516
1.5 0.06918 0.06767
1.7 0.08013 0.08382
1.9 0.08202 0.08620
2.1 0.09507 0.10579
2.3 0.10150 0.11518
2.5 0.10177 0.11620
2.7 0.10411 0.12066
2.9 0.09811 0.11422
3.1 0.09930 0.11712
3.3 0.09410 0.11218
3.5 0.09800 0.11875
3.7 0.09667 0.11973
3.9 0.08760 0.10968
4.1 0.08442 0.10604
4.3 0.08319 0.10568
4.5 0.07482 0.09437
4.7 0.07074 0.08964
4.9 0.06357 0.07976
5.1 0.06534 0.08345
5.3 0.06213 0.07807
5.5 0.05277 0.06583
5.7 0.05079 0.06433
5.9 0.04823 0.06135
6.1 0.04752 0.05940
6.3 0.04115 0.04969
6.5 0.03547 0.04487
6.7 0.04705 0.05489
6.9 0.03536 0.04139
7.1 0.03057 0.03880
7.3 0.02968 0.03521
7.5 0.03135 0.03746
7.7 0.02970 0.03504
7.9 0.02981 0.03368
