pT v2min v2max
0.10 0.00175 -0.00239
0.30 0.00378 0.00222
0.50 0.00725 0.00614
0.70 0.01396 0.01055
0.90 0.02303 0.01654
1.10 0.03574 0.02695
1.30 0.05139 0.04159
1.50 0.06937 0.06131
1.70 0.08794 0.08302
1.90 0.10605 0.10728
2.10 0.12322 0.13056
2.30 0.13841 0.15117
2.50 0.15087 0.17055
2.70 0.16090 0.18349
2.90 0.16917 0.19596
3.10 0.17535 0.20135
3.30 0.17833 0.20494
3.50 0.18021 0.20594
3.70 0.18140 0.20692
3.90 0.18099 0.20561
4.10 0.18050 0.20114
4.30 0.17895 0.19675
4.50 0.17593 0.19162
4.70 0.17224 0.18913
4.90 0.16904 0.18186
5.10 0.16428 0.17614
5.30 0.15967 0.17185
5.50 0.15542 0.16345
5.70 0.15103 0.15925
5.90 0.14754 0.15555
6.10 0.14333 0.15345
6.30 0.13842 0.15229
6.50 0.13535 0.14456
6.70 0.13292 0.14103
6.90 0.12997 0.13522
7.10 0.12421 0.13472
7.30 0.12067 0.12924
7.50 0.11564 0.12319
7.70 0.11492 0.11943
7.90 0.11215 0.11878
8.10 0.10766 0.11528
8.30 0.10563 0.11209
8.50 0.10351 0.11007
8.70 0.10223 0.10719
8.90 0.10119 0.10453
9.10 0.09786 0.10102
9.30 0.09459 0.10031
9.50 0.08970 0.09623
9.70 0.08755 0.09422
9.90 0.08619 0.09273
10.1 0.08500 0.08868
10.3 0.08270 0.08623
10.5 0.07974 0.08417
10.7 0.07705 0.08222
10.9 0.07586 0.08132
11.1 0.07208 0.08034
11.3 0.06975 0.07698
11.5 0.06656 0.07383
11.7 0.06371 0.0727
11.9 0.06074 0.0707
